RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Jalen Green,Pho,*,G,23.8,2,14.9,38.0,7.9,5,0.6,9,0.556,14,0.429,0.609,0.615,15.5,2.0,2.0,1.0,0.0,1.0,17.5,17.5,19.5,10.6,122.3,113.0
,Aaron Nesmith,Ind,*,G-F,26.1,11,30.4,21.2,5.1,39,0.795,64,0.359,83,0.373,0.473,0.518,15.5,4.5,1.5,0.8,0.3,0.7,19.9,17.0,21.5,6.2,111.3,113.0
,Jeremiah Fears,Nor,*,G,19.1,20,27.2,25.5,15.0,62,0.758,188,0.473,72,0.361,0.492,0.527,15.2,3.4,2.7,1.6,0.2,2.3,18.5,17.9,21.2,7.6,101.8,117.5
,Tobias Harris,Det,*,F,33.4,11,30.0,18.5,8.9,32,0.844,73,0.589,50,0.36,0.569,0.609,15.2,5.0,2.6,0.5,0.4,1.1,20.2,17.8,22.8,7.8,125.0,107.7
,Ajay Mitchell,Okc,*,G,23.4,20,26.4,24.9,12.4,71,0.859,173,0.509,67,0.328,0.504,0.559,15.2,3.4,3.7,1.6,0.3,1.7,18.6,18.8,22.2,8.7,112.3,100.9
,Jabari Smith Jr.,Hou,*,F,22.6,15,33.3,17.7,8.0,38,0.789,96,0.49,87,0.391,0.536,0.566,15.1,6.7,1.8,0.8,0.8,1.1,21.8,16.9,23.6,6.8,125.1,106.3
,Rui Hachimura,Lal,*,F,27.8,17,33.6,15.8,9.8,34,0.735,107,0.598,68,0.485,0.649,0.663,14.8,3.9,1.0,0.6,0.2,1.1,18.7,15.8,19.7,4.6,124.5,114.9
,Aaron Wiggins,Okc,*,G,26.9,9,27.6,21.5,7.5,9,0.667,51,0.51,60,0.417,0.572,0.578,14.8,3.7,2.2,0.4,0.8,1.0,18.4,17.0,20.7,7.2,115.5,103.6
,Walker Kessler,Uta,*,C,24.3,5,30.8,16.3,30.0,20,0.7,29,0.69,8,0.75,0.784,0.786,14.4,10.8,3.0,1.4,1.8,3.2,25.2,17.4,28.2,10.1,128.7,105.9
,Jarrett Allen,Cle,*,C,27.6,15,26.1,20.6,14.3,66,0.773,139,0.59,4,0.0,0.573,0.625,14.3,7.6,1.8,1.0,0.9,1.6,21.9,16.1,23.7,8.9,123.7,109.6
,Reed Sheppard,Hou,*,G,21.4,16,24.9,20.7,10.4,21,0.714,73,0.534,99,0.455,0.619,0.629,14.3,2.8,3.3,1.6,0.4,1.3,17.0,17.6,20.3,8.2,131.7,107.5
,Russell Westbrook,Sac,*,G,37.0,20,28.6,24.0,21.3,52,0.635,131,0.481,105,0.39,0.528,0.545,14.1,7.2,6.8,1.2,0.2,3.2,21.3,20.9,28.0,12.4,106.0,113.7
,Obi Toppin,Ind,*,F,27.7,3,27.4,23.0,14.1,9,1.0,19,0.632,17,0.176,0.458,0.526,14.0,6.7,1.7,1.0,0.0,2.0,20.7,15.7,22.3,7.9,100.7,108.6
,Sam Merrill,Cle,*,G,29.5,12,25.9,17.6,7.9,16,0.938,17,0.588,99,0.444,0.655,0.679,13.9,2.1,2.3,0.5,0.3,0.8,16.0,16.2,18.3,6.3,133.0,109.2
,Santi Aldama,Mem,*,F-C,24.9,20,26.3,21.1,8.5,46,0.652,134,0.567,92,0.337,0.542,0.558,13.8,6.7,2.9,1.0,0.8,1.1,20.4,16.7,23.3,9.8,115.8,111.7
,Darius Garland,Cle,*,G,25.8,6,27.1,24.9,19.9,19,1.0,42,0.357,30,0.367,0.438,0.51,13.7,2.8,6.7,0.7,0.0,3.0,16.5,20.3,23.2,9.4,106.1,113.1
,Donte DiVincenzo,Min,*,G,28.8,19,31.3,17.0,12.8,49,0.837,44,0.523,147,0.395,0.576,0.614,13.7,3.9,3.6,1.2,0.4,1.5,17.6,17.3,21.2,7.4,122.8,110.9
,Jalen Suggs,Orl,*,G,24.5,15,24.0,23.9,23.1,46,0.913,62,0.661,81,0.333,0.57,0.628,13.7,3.9,4.8,1.7,0.6,2.9,17.6,18.5,22.4,10.6,114.4,100.6
,Nic Claxton,Bro,*,C,26.6,19,29.8,18.7,14.8,97,0.691,165,0.582,8,0.0,0.555,0.6,13.6,7.3,3.9,0.7,1.3,1.6,20.9,17.5,24.8,9.8,126.9,115.9
,Paul George,Phi,*,F,35.6,4,21.9,26.4,14.5,16,0.688,20,0.55,21,0.333,0.524,0.562,13.5,4.3,3.3,1.3,0.8,1.8,17.8,16.8,21.0,10.5,110.9,114.9
,Kyle Kuzma,Mil,*,F,30.4,20,26.2,21.2,11.5,63,0.762,141,0.574,58,0.345,0.558,0.595,13.5,4.6,2.1,0.9,0.5,1.3,18.1,15.6,20.2,7.7,114.8,111.6
,Jonathan Kuminga,Gol,*,F,23.2,14,27.1,22.6,20.4,48,0.771,102,0.539,42,0.333,0.528,0.572,13.5,6.2,2.8,0.4,0.3,2.6,19.7,16.3,22.5,9.1,105.6,109.9
